time,head
0,156.19
37,156.08
49,155.9
62,155.99
90,155.9
125,155.82
155,155.75
179,155.52
214,155.41
241,155.4
270,155.38
306,155.08
335,154.79
364,154.77
395,154.69
424,154.39
451,154.09
482,153.77
521,153.62
546,153.28
579,152.98
609,152.97
634,152.88
665,152.68
700,152.57
731,152.44
760,152.31
798,152.01
815,151.68
847,151.57
880,151.49
907,151.31
942,151.11
977,150.69
1003,150.28
1032,149.12
1066,148.59
1094,148.56
1128,146.68
1152,145.99
1186,145.09
1216,144.26
1246,143.81
1281,143.48
1305,142.97
1338,142.56
1367,141.68
1403,139.97
1431,137.46
1465,135.27
1492,134.41
1524,133.98
1552,133.23
1577,132.36
1612,132.3
1640,132.23
1675,129.64
1709,128.05
1734,126.58
1769,125.48
1789,126.25
1799,125.63
1829,126.02
1858,121.14
1885,117.01
1918,114.68
1946,112.86
1981,110.82
2003,108.91
2041,105.77
2071,102.43
2104,101.77
2134,101.06
2174,99.42
2198,97.53
2233,96.22
2255,95.57
2287,95.28
2319,93.86
2348,92.89
2378,91.56
2406,89.56
2435,87.89
2464,86.78
2497,85.94
2529,84.16
2544,82.3
2562,83.32
2591,82.44
2618,81.73
2651,81.08
2681,81.53
2709,79.88
2735,79.11
2772,78.58000336
2797,77.91999969
2833,77.43999634
2863,76.80999908
2892,76.04999695
2921,75.33000336
2954,74.47999725
2978,73.58000336
3017,72.55999908
3046,72.33000336
3067,72.03000031
3106,71.66999969
3134,71.26999817
3162,71.01000366
3196,70.86999664
3225,70.65999756
3257,70.36999664
