"per","Year","wellid","Brkenn","qdes","k"
0,2007,"welll1","W 5001",0,0
0,2007,"welll2","W 5001",0,2
0,2007,"welll3","W 5002",0,0
0,2007,"welll4","W 5002",0,2
0,2007,"welll5","W 5003",0,0
0,2007,"welll6","W 5003",0,2
0,2007,"welll7","W 5035",0,0
0,2007,"welll8","W 5035",0,2
0,2007,"welll9","W 5036",-90.33668363,0
0,2007,"welll10","W 5036",-80.29927436,2
0,2007,"welll11","W 5037",-141.6264364,0
0,2007,"welll12","W 5037",-125.8901657,2
0,2007,"welll13","W 5045",-486.8242848,0
0,2007,"welll14","W 5045",-432.7326976,2
0,2007,"welll15","W 5046",-229.9881956,0
0,2007,"welll16","W 5046",-204.4339516,2
0,2007,"welll17","W 5049",-385.1198962,0
0,2007,"welll18","W 5049",-342.3287966,2
0,2007,"welll19","W 5051",-691.306663,0
0,2007,"welll20","W 5051",0,2
0,2007,"welll21","W 5052",-323.8685622,0
0,2007,"welll22","W 5052",-287.8831664,2
0,2007,"welll23","W 5053",-969.257205,0
0,2007,"welll24","W 5053",0,2
0,2007,"welll25","W 5055",-298.5859034,0
0,2007,"welll26","W 5055",-265.4096919,2
0,2007,"welll27","W 5056",0,0
0,2007,"welll28","W 5056",0,2
0,2007,"welll29","W 5057",0,0
0,2007,"welll30","W 5057",0,2
0,2007,"welll31","W 5058",-232.6818703,0
0,2007,"welll32","W 5058",-206.8283292,2
0,2007,"welll33","W 5059",0,0
0,2007,"welll34","W 5059",0,2
0,2007,"welll35","W 5060",-56.16,0
0,2007,"welll36","W 5060",0,2
0,2007,"welll37","W 5061",-951.8059455,0
0,2007,"welll38","W 5061",0,2
0,2007,"welll39","W 5062",0,0
0,2007,"welll40","W 5062",0,2
0,2007,"welll41","W 5063",-839.2852643,0
0,2007,"welll42","W 5063",0,2
0,2007,"welll43","W 5065",-44.64,0
0,2007,"welll44","W 5065",-44.64,2
0,2007,"welll45","W 5066",0,0
0,2007,"welll46","W 5066",0,2
0,2007,"welll47","W 5084",0,0
0,2007,"welll48","W 5084",0,2
0,2007,"welll49","W 5085",0,0
0,2007,"welll50","W 5085",0,2
0,2007,"welll51","W 5088",0,0
0,2007,"welll52","W 5088",0,2
0,2007,"welll53","W 5090",-351.654128,0
0,2007,"welll54","W 5090",-312.5814471,2
0,2007,"welll55","W 5093",-240.6899581,0
0,2007,"welll56","W 5093",-213.9466294,2
0,2007,"welll57","W 5094",-290.2660452,0
0,2007,"welll58","W 5094",-258.0142624,2
0,2007,"welll59","W 5095",-291.3586848,0
0,2007,"welll60","W 5095",-258.9854976,2
0,2007,"welll61","W 5099",-91.20083055,0
