"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,62.16632,62.16632,2529847.94,5658788.96,"W 5812",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELLL738",10,0,57.41015,57.41015,2529847.94,5658788.96,"W 5812",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL738",11,0,47.37897,47.37897,2529847.94,5658788.96,"W 5812",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELLL740",9,0,63.76099,63.76099,2530172.81,5658373.2,"W 5815",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELLL740",10,0,60.0133,60.0133,2530172.81,5658373.2,"W 5815",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL740",11,0,51.13692,51.13692,2530172.81,5658373.2,"W 5815",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELLL860",9,0,61.63533,61.63533,2530041.18,5658643.89,"W 5963",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELLL860",10,0,58.3379,58.3379,2530041.18,5658643.89,"W 5963",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL860",11,0,49.46955,49.46955,2530041.18,5658643.89,"W 5963",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELLL944",9,0,64.32296,64.32296,2529988.65,5658509.59,"W 6200",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELLL944",10,0,59.55741,59.55741,2529988.65,5658509.59,"W 6200",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL944",11,0,49.32008,49.32008,2529988.65,5658509.59,"W 6200",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELLL954",9,0,60.42545,60.42545,2530069.25,5658783.1,"WA5980",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELLL954",10,0,57.61395,57.61395,2530069.25,5658783.1,"WA5980",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELLL954",11,0,49.20187,49.20187,2530069.25,5658783.1,"WA5980",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1014",9,0,67.99784,67.99784,2529756.44,5658357.51,"WA5813",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1014",10,0,61.54824,61.54824,2529756.44,5658357.51,"WA5813",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1014",11,0.06,50.11327,50.65801,2529756.44,5658357.51,"WA5813",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1016",9,0,63.28004,63.28004,2530084.04,5658515.11,"WA5814",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1016",10,0.15,58.02328,58.82446,2530084.04,5658515.11,"WA5814",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1016",11,0.3,45.3637,48.17874,2530084.04,5658515.11,"WA5814",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1020",9,0.2,65.30211,66.23224,2530053.05,5658116.42,"WA5817",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1020",10,0.4,57.11255,59.54611,2530053.05,5658116.42,"WA5817",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1020",11,0.36,44.45858,47.85407,2530053.05,5658116.42,"WA5817",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1106",9,0,63.84592,63.84592,2529856.43,5658664.39,"WA6199",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1106",10,0.1,57.59218,58.11181,2529856.43,5658664.39,"WA6199",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1106",11,0.2,44.07539,46.05378,2529856.43,5658664.39,"WA6199",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1138",9,0,66.16617,66.16617,2529582.45,5658758.27,"WA6246",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1138",10,0.1,56.82424,57.34056,2529582.45,5658758.27,"WA6246",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1138",11,0.2,43.15639,45.13278,2529582.45,5658758.27,"WA6246",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1140",9,0,65.47883,65.47883,2529817.69,5658565.94,"WA6247",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1140",10,0.25,57.10218,58.43338,2529817.69,5658565.94,"WA6247",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1140",11,0.43,40.82326,44.04989,2529817.69,5658565.94,"WA6247",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1142",9,0,70.2907,70.2907,2529560.26,5658379.33,"WA6248",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1142",10,0,62.21987,62.21987,2529560.26,5658379.33,"WA6248",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1142",11,0.08,50.48026,51.11481,2529560.26,5658379.33,"WA6248",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1144",9,0,72.64774,72.64774,2529388.19,5658371.25,"WA6249",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1144",10,0,62.74726,62.74726,2529388.19,5658371.25,"WA6249",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1144",11,0.08,50.86013,51.48017,2529388.19,5658371.25,"WA6249",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1146",9,0,67.67052,67.67052,2529891.5,5658197.02,"WA6251",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1146",10,0,61.85463,61.85463,2529891.5,5658197.02,"WA6251",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1146",11,0.08,50.52364,51.21591,2529891.5,5658197.02,"WA6251",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1148",9,0,78.71411,78.71411,2529329.83,5657831.95,"WA6253",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1148",10,0,70.85237,70.85237,2529329.83,5657831.95,"WA6253",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1148",11,0.08,62.73098,63.17064,2529329.83,5657831.95,"WA6253",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1154",9,0,70.81466,70.81466,2529922.03,5657843.68,"WA6256",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1154",10,0,64.80082,64.80082,2529922.03,5657843.68,"WA6256",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1154",11,0.08,54.01441,54.69668,2529922.03,5657843.68,"WA6256",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1192",9,0.28,67.21171,68.42166,2529323.2,5658729.44,"WA6291",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1192",10,0.55,52.85361,55.91976,2529323.2,5658729.44,"WA6291",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1192",11,0.47,39.7084,42.91029,2529323.2,5658729.44,"WA6291",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1194",9,0,67.77118,67.77118,2529560.42,5658619.19,"WA6292",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1194",10,0.15,57.90732,58.68357,2529560.42,5658619.19,"WA6292",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1194",11,0.29,42.29001,45.50278,2529560.42,5658619.19,"WA6292",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1196",9,0,64.98859,64.98859,2529751.28,5658659.18,"WA6293",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1196",10,0,58.56138,58.56138,2529751.28,5658659.18,"WA6293",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1196",11,0.15,44.37864,45.88181,2529751.28,5658659.18,"WA6293",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1198",9,0,69.97183,69.97183,2529481.34,5658487.75,"WA6294",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1198",10,0.15,59.33299,60.09499,2529481.34,5658487.75,"WA6294",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1198",11,0.29,44.2209,47.23776,2529481.34,5658487.75,"WA6294",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1200",9,0,73.61472,73.61472,2529262.94,5658401.32,"WA6295",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1200",10,0.18,61.55681,62.40124,2529262.94,5658401.32,"WA6295",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1200",11,0.35,47.29198,50.31727,2529262.94,5658401.32,"WA6295",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1202",9,0,73.82995,73.82995,2529474.21,5658109.89,"WA6296",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1202",10,0,65.36355,65.36355,2529474.21,5658109.89,"WA6296",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1202",11,0.12,54.05054,55.01195,2529474.21,5658109.89,"WA6296",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1206",9,0,72.44556,72.44556,2529722.32,5657913.16,"WA6298",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1206",10,0.15,63.76202,64.5591,2529722.32,5657913.16,"WA6298",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1206",11,0.3,50.12329,53.08584,2529722.32,5657913.16,"WA6298",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1208",9,0.28,69.95471,71.16465,2529643.2,5658035.09,"WA6299",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1208",10,0.55,59.01183,62.12256,2529643.2,5658035.09,"WA6299",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1208",11,0.49,46.41419,49.89069,2529643.2,5658035.09,"WA6299",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1210",9,0,69.44755,69.44755,2529905.71,5658016.5,"WA6300",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1210",10,0.15,61.67687,62.51135,2529905.71,5658016.5,"WA6300",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1210",11,0.29,47.20009,50.56233,2529905.71,5658016.5,"WA6300",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1212",9,0,73.49503,73.49503,2529735.32,5657797.18,"WA6302",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1212",10,0.1,65.88409,66.39683,2529735.32,5657797.18,"WA6302",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1212",11,0.2,54.77227,56.44414,2529735.32,5657797.18,"WA6302",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1242",9,0,71.82944,71.82944,2529333.34,5658506.41,"WA6342",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1242",10,0,61.28163,61.28163,2529333.34,5658506.41,"WA6342",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1242",11,0.12,48.39881,49.47293,2529333.34,5658506.41,"WA6342",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1248",9,0.25,72.39589,73.49584,2529308.37,5658264.53,"WA6345",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1248",10,0.5,60.06937,62.59363,2529308.37,5658264.53,"WA6345",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1248",11,0.5,47.01919,51.4257,2529308.37,5658264.53,"WA6345",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1250",9,0,77.18086,77.18086,2529254.94,5658072.25,"WA6347",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1250",10,0.1,67.07942,67.53125,2529254.94,5658072.25,"WA6347",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1250",11,0.2,56.99032,58.31072,2529254.94,5658072.25,"WA6347",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1252",9,0,75.74058,75.74058,2529453.79,5657904.41,"WA6348",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1252",10,0.15,66.62922,67.34589,2529453.79,5657904.41,"WA6348",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1252",11,0.3,55.41097,57.62277,2529453.79,5657904.41,"WA6348",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
"WELL1270",9,0,70.81949,70.81949,2529645.62,5658180.13,"WA6386",11.6,"Jahr: 2016 (Gesamtfoerderung 6B: 6.1 Millionen m3)"
"WELL1270",10,0.12,62.13364,62.78321,2529645.62,5658180.13,"WA6386",34.28,"Jahr: 2017 (Gesamtfoerderung 6B: 18.0 Millionen m3)"
"WELL1270",11,0.25,48.74917,51.1467,2529645.62,5658180.13,"WA6386",52.87,"Jahr: 2018 (Gesamtfoerderung 6B: 27.8 Millionen m3)"
