"WELLID","Totim","Q_node_cubicmpermin","hwell_median","hcell_median","X_WERT","Y_WERT","Brkenn","Gesamtfoerderung","label"
"WELLL738",9,0,58.51356,58.51356,2529847.94,5658788.96,"W 5812",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL738",10,0,47.77614,47.77614,2529847.94,5658788.96,"W 5812",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELLL738",11,0,36.52724,36.52724,2529847.94,5658788.96,"W 5812",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELLL740",9,0,61.34306,61.34306,2530172.81,5658373.2,"W 5815",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL740",10,0,51.08357,51.08357,2530172.81,5658373.2,"W 5815",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELLL740",11,0,41.24695,41.24695,2530172.81,5658373.2,"W 5815",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELLL860",9,0,58.93968,58.93968,2530041.18,5658643.89,"W 5963",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL860",10,0,48.9373,48.9373,2530041.18,5658643.89,"W 5963",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELLL860",11,0,38.85339,38.85339,2530041.18,5658643.89,"W 5963",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELLL944",9,0,61.43809,61.43809,2529988.65,5658509.59,"W 6200",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL944",10,0,50.49066,50.49066,2529988.65,5658509.59,"W 6200",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELLL944",11,0,39.63546,39.63546,2529988.65,5658509.59,"W 6200",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELLL954",9,0,57.5513,57.5513,2530069.25,5658783.1,"WA5980",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELLL954",10,0,47.89668,47.89668,2530069.25,5658783.1,"WA5980",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELLL954",11,0,38.10221,38.10221,2530069.25,5658783.1,"WA5980",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1016",9,0,64.21781,64.21781,2529756.44,5658357.51,"WA5813",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1016",10,0,53.33415,53.33415,2529756.44,5658357.51,"WA5813",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1016",11,0.09,38.54522,38.98034,2529756.44,5658357.51,"WA5813",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1018",9,0,60.70255,60.70255,2530084.04,5658515.11,"WA5814",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1018",10,0.3,45.79274,48.53773,2530084.04,5658515.11,"WA5814",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1018",11,0.13,37.88041,37.88041,2530084.04,5658515.11,"WA5814",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1022",9,0.4,59.91985,62.09734,2530053.05,5658116.42,"WA5817",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1022",10,0.56,45.35774,46.49738,2530053.05,5658116.42,"WA5817",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1022",11,0.09,40.91925,40.91925,2530053.05,5658116.42,"WA5817",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1108",9,0,60.42612,60.42612,2529856.43,5658664.39,"WA6199",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1108",10,0.2,45.97409,47.73152,2529856.43,5658664.39,"WA6199",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1108",11,0.09,35.72748,35.72748,2529856.43,5658664.39,"WA6199",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1144",9,0,60.45542,60.45542,2529582.45,5658758.27,"WA6246",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1144",10,0.2,44.69039,46.48508,2529582.45,5658758.27,"WA6246",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1144",11,0.09,34.82543,34.82543,2529582.45,5658758.27,"WA6246",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1146",9,0,61.88506,61.88506,2529817.69,5658565.94,"WA6247",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1146",10,0.46,41.90474,46.88815,2529817.69,5658565.94,"WA6247",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1146",11,0.09,36.72161,36.72161,2529817.69,5658565.94,"WA6247",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1148",9,0,65.37742,65.37742,2529560.26,5658379.33,"WA6248",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1148",10,0,53.91439,53.91439,2529560.26,5658379.33,"WA6248",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1148",11,0.1,38.64542,39.05362,2529560.26,5658379.33,"WA6248",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1150",9,0,66.44381,66.44381,2529388.19,5658371.25,"WA6249",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1150",10,0,53.51638,53.51638,2529388.19,5658371.25,"WA6249",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1150",11,0.1,38.73586,39.12932,2529388.19,5658371.25,"WA6249",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1152",9,0,64.34134,64.34134,2529891.5,5658197.02,"WA6251",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1152",10,0,53.23746,53.23746,2529891.5,5658197.02,"WA6251",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1152",11,0.09,39.9089,40.26442,2529891.5,5658197.02,"WA6251",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1154",9,0,74.66496,74.66496,2529329.83,5657831.95,"WA6253",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1154",10,0,66.04173,66.04173,2529329.83,5657831.95,"WA6253",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1154",11,0.15,52.12558,53.64918,2529329.83,5657831.95,"WA6253",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1160",9,0,67.80205,67.80205,2529922.03,5657843.68,"WA6256",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1160",10,0,56.85828,56.85828,2529922.03,5657843.68,"WA6256",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1160",11,0.12,43.69423,44.18734,2529922.03,5657843.68,"WA6256",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1200",9,0.55,56.73847,59.41063,2529323.2,5658729.44,"WA6291",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1200",10,0.71,40.50889,41.53845,2529323.2,5658729.44,"WA6291",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1200",11,0.12,35.81545,35.81545,2529323.2,5658729.44,"WA6291",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1202",9,0,62.40546,62.40546,2529560.42,5658619.19,"WA6292",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1202",10,0.3,45.09415,47.80185,2529560.42,5658619.19,"WA6292",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1202",11,0.09,36.18771,36.18771,2529560.42,5658619.19,"WA6292",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1204",9,0,61.00342,61.00342,2529751.28,5658659.18,"WA6293",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1204",10,0,48.97644,48.97644,2529751.28,5658659.18,"WA6293",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1204",11,0.08,35.49275,35.52082,2529751.28,5658659.18,"WA6293",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1206",9,0,64.07958,64.07958,2529481.34,5658487.75,"WA6294",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1206",10,0.3,47.02214,49.58186,2529481.34,5658487.75,"WA6294",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1206",11,0.11,37.26222,37.26222,2529481.34,5658487.75,"WA6294",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1208",9,0,66.8701,66.8701,2529262.94,5658401.32,"WA6295",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1208",10,0.35,49.52783,52.21821,2529262.94,5658401.32,"WA6295",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1208",11,0.19,39.22441,39.23575,2529262.94,5658401.32,"WA6295",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1210",9,0,68.89631,68.89631,2529474.21,5658109.89,"WA6296",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1210",10,0,57.77517,57.77517,2529474.21,5658109.89,"WA6296",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1210",11,0.18,42.05716,42.55595,2529474.21,5658109.89,"WA6296",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1214",9,0,68.70609,68.70609,2529722.32,5657913.16,"WA6298",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1214",10,0.3,52.35833,54.95707,2529722.32,5657913.16,"WA6298",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1214",11,0.16,43.79171,43.80166,2529722.32,5657913.16,"WA6298",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1216",9,0.55,63.31059,65.98007,2529643.2,5658035.09,"WA6299",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1216",10,0.83,47.96598,49.32031,2529643.2,5658035.09,"WA6299",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1216",11,0.15,42.72564,42.72564,2529643.2,5658035.09,"WA6299",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1218",9,0,66.12037,66.12037,2529905.71,5658016.5,"WA6300",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1218",10,0.3,49.21618,52.17376,2529905.71,5658016.5,"WA6300",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1218",11,0.11,42.15074,42.15074,2529905.71,5658016.5,"WA6300",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1220",9,0,70.18775,70.18775,2529735.32,5657797.18,"WA6302",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1220",10,0.2,57.12632,58.59755,2529735.32,5657797.18,"WA6302",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1220",11,0.23,45.36967,45.81536,2529735.32,5657797.18,"WA6302",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1250",9,0,64.90835,64.90835,2529333.34,5658506.41,"WA6342",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1250",10,0,51.87344,51.87344,2529333.34,5658506.41,"WA6342",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1250",11,0.13,37.49252,37.76709,2529333.34,5658506.41,"WA6342",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1256",9,0.5,64.40995,66.60985,2529308.37,5658264.53,"WA6345",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1256",10,0.91,46.6391,49.79492,2529308.37,5658264.53,"WA6345",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1256",11,0.23,41.10655,41.10655,2529308.37,5658264.53,"WA6345",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1258",9,0,72.02118,72.02118,2529254.94,5658072.25,"WA6347",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1258",10,0.2,59.26386,60.45629,2529254.94,5658072.25,"WA6347",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1258",11,0.32,44.19571,44.95303,2529254.94,5658072.25,"WA6347",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1260",9,0,71.50662,71.50662,2529453.79,5657904.41,"WA6348",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1260",10,0.3,58.16018,60.10286,2529453.79,5657904.41,"WA6348",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1260",11,0.35,45.49256,46.00914,2529453.79,5657904.41,"WA6348",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
"WELL1278",9,0,66.53167,66.53167,2529645.62,5658180.13,"WA6386",23.42,"Jahr: 2016 (Gesamtfoerderung 6B: 12.3 Millionen m3)"
"WELL1278",10,0.25,51.1105,53.19717,2529645.62,5658180.13,"WA6386",59.08,"Jahr: 2017 (Gesamtfoerderung 6B: 31.1 Millionen m3)"
"WELL1278",11,0.14,41.03763,41.04881,2529645.62,5658180.13,"WA6386",56,"Jahr: 2018 (Gesamtfoerderung 6B: 29.4 Millionen m3)"
