Brkenn,k,X_WERT,Y_WERT,wellid,losstype,pumploc,qlimit,ppflag,pumpcap,rw,hlim,qcut,x,y,rskin,kskin
W 5001,0,2531951.12,5659201.03,welll1,skin,0,0,0,0,0.5,6,0,4760.189999999944,2985.839999999851,0.51,0.0086
W 5001,2,2531951.12,5659201.03,welll2,skin,0,0,0,0,0.5,6,0,4760.189999999944,2985.839999999851,0.51,0.0086
W 5002,0,2531850.15,5659260.59,welll3,skin,0,0,0,0,0.5,6,0,4659.219999999739,2926.2800000002608,0.51,0.0086
W 5002,2,2531850.15,5659260.59,welll4,skin,0,0,0,0,0.5,6,0,4659.219999999739,2926.2800000002608,0.51,0.0086
W 5003,0,2531934.75,5659440.45,welll5,skin,0,0,0,0,0.5,6,0,4743.819999999832,2746.4199999999255,0.51,0.0086
W 5003,2,2531934.75,5659440.45,welll6,skin,0,0,0,0,0.5,6,0,4743.819999999832,2746.4199999999255,0.51,0.0086
W 5035,0,2531990.93,5657120.89,welll7,skin,0,0,0,0,0.5,6,0,4800.0,5065.980000000447,0.51,0.0086
W 5035,2,2531990.93,5657120.89,welll8,skin,0,0,0,0,0.5,6,0,4800.0,5065.980000000447,0.51,0.0086
W 5036,0,2531916.01,5657011.17,welll9,skin,0,0,0,0,0.5,6,0,4725.079999999609,5175.700000000186,0.51,0.0086
W 5036,2,2531916.01,5657011.17,welll10,skin,0,0,0,0,0.5,6,0,4725.079999999609,5175.700000000186,0.51,0.0086
W 5037,0,2531851.14,5656910.78,welll11,skin,0,0,0,0,0.5,6,0,4660.209999999963,5276.089999999851,0.51,0.0086
W 5037,2,2531851.14,5656910.78,welll12,skin,0,0,0,0,0.5,6,0,4660.209999999963,5276.089999999851,0.51,0.0086
W 5045,0,2531958.96,5660547.43,welll13,skin,0,0,0,0,0.5,6,0,4768.029999999795,1639.4400000004098,0.51,0.0086
W 5045,2,2531958.96,5660547.43,welll14,skin,0,0,0,0,0.5,6,0,4768.029999999795,1639.4400000004098,0.51,0.0086
W 5046,0,2531811.78,5660550.25,welll15,skin,0,0,0,0,0.5,6,0,4620.8499999996275,1636.6200000001118,0.51,0.0086
W 5046,2,2531811.78,5660550.25,welll16,skin,0,0,0,0,0.5,6,0,4620.8499999996275,1636.6200000001118,0.51,0.0086
W 5049,0,2531712.88,5660735.7,welll17,skin,0,0,0,0,0.5,6,0,4521.949999999721,1451.1699999999255,0.51,0.0086
W 5049,2,2531712.88,5660735.7,welll18,skin,0,0,0,0,0.5,6,0,4521.949999999721,1451.1699999999255,0.51,0.0086
W 5051,0,2531724.11,5660979.66,welll19,skin,0,0,0,0,0.5,6,0,4533.179999999702,1207.2099999999627,0.51,0.0086
W 5051,2,2531724.11,5660979.66,welll20,skin,0,0,0,0,0.5,6,0,4533.179999999702,1207.2099999999627,0.51,0.0086
W 5052,0,2531720.38,5661071.2,welll21,skin,0,0,0,0,0.5,6,0,4529.449999999721,1115.6699999999255,0.51,0.0086
W 5052,2,2531720.38,5661071.2,welll22,skin,0,0,0,0,0.5,6,0,4529.449999999721,1115.6699999999255,0.51,0.0086
W 5053,0,2531730.36,5661171.66,welll23,skin,0,0,0,0,0.5,6,0,4539.429999999702,1015.2099999999627,0.51,0.0086
W 5053,2,2531730.36,5661171.66,welll24,skin,0,0,0,0,0.5,6,0,4539.429999999702,1015.2099999999627,0.51,0.0086
W 5055,0,2531720.71,5661370.8,welll25,skin,0,0,0,0,0.5,6,0,4529.779999999795,816.070000000298,0.51,0.0086
W 5055,2,2531720.71,5661370.8,welll26,skin,0,0,0,0,0.5,6,0,4529.779999999795,816.070000000298,0.51,0.0086
W 5056,0,2531710.95,5661461.02,welll27,skin,0,0,0,0,0.5,6,0,4520.020000000019,725.8500000005588,0.51,0.0086
W 5056,2,2531710.95,5661461.02,welll28,skin,0,0,0,0,0.5,6,0,4520.020000000019,725.8500000005588,0.51,0.0086
W 5057,0,2531772.62,5661747.53,welll29,skin,0,0,0,0,0.5,6,0,4581.689999999944,439.339999999851,0.51,0.0086
W 5057,2,2531772.62,5661747.53,welll30,skin,0,0,0,0,0.5,6,0,4581.689999999944,439.339999999851,0.51,0.0086
W 5058,0,2531681.36,5661650.51,welll31,skin,0,0,0,0,0.5,6,0,4490.429999999702,536.3600000003353,0.51,0.0086
W 5058,2,2531681.36,5661650.51,welll32,skin,0,0,0,0,0.5,6,0,4490.429999999702,536.3600000003353,0.51,0.0086
W 5059,0,2531661.28,5661741.03,welll33,skin,0,0,0,0,0.5,6,0,4470.3499999996275,445.839999999851,0.51,0.0086
W 5059,2,2531661.28,5661741.03,welll34,skin,0,0,0,0,0.5,6,0,4470.3499999996275,445.839999999851,0.51,0.0086
W 5060,0,2531660.19,5661800.96,welll35,skin,0,0,0,0,0.5,6,0,4469.2599999997765,385.910000000149,0.51,0.0086
W 5060,2,2531660.19,5661800.96,welll36,skin,0,0,0,0,0.5,6,0,4469.2599999997765,385.910000000149,0.51,0.0086
W 5061,0,2531500.59,5661813.48,welll37,skin,0,0,0,0,0.5,6,0,4309.659999999683,373.3899999996647,0.51,0.0086
W 5061,2,2531500.59,5661813.48,welll38,skin,0,0,0,0,0.5,6,0,4309.659999999683,373.3899999996647,0.51,0.0086
W 5062,0,2531407.91,5661922.49,welll39,skin,0,0,0,0,0.5,6,0,4216.979999999981,264.37999999988824,0.51,0.0086
W 5062,2,2531407.91,5661922.49,welll40,skin,0,0,0,0,0.5,6,0,4216.979999999981,264.37999999988824,0.51,0.0086
W 5063,0,2531500.96,5661970.89,welll41,skin,0,0,0,0,0.5,6,0,4310.029999999795,215.98000000044703,0.51,0.0086
W 5063,2,2531500.96,5661970.89,welll42,skin,0,0,0,0,0.5,6,0,4310.029999999795,215.98000000044703,0.51,0.0086
W 5065,0,2531797.0,5661867.4,welll43,skin,0,0,0,0,0.5,6,0,4606.069999999832,319.46999999973923,0.51,0.0086
W 5065,2,2531797.0,5661867.4,welll44,skin,0,0,0,0,0.5,6,0,4606.069999999832,319.46999999973923,0.51,0.0086
W 5066,0,2531674.74,5661853.89,welll45,skin,0,0,0,0,0.5,6,0,4483.810000000056,332.98000000044703,0.51,0.0086
W 5066,2,2531674.74,5661853.89,welll46,skin,0,0,0,0,0.5,6,0,4483.810000000056,332.98000000044703,0.51,0.0086
W 5084,0,2531905.43,5661737.89,welll47,skin,0,0,0,0,0.5,6,0,4714.5,448.98000000044703,0.51,0.0086
W 5084,2,2531905.43,5661737.89,welll48,skin,0,0,0,0,0.5,6,0,4714.5,448.98000000044703,0.51,0.0086
W 5085,0,2531840.24,5661620.64,welll49,skin,0,0,0,0,0.5,6,0,4649.310000000056,566.230000000447,0.51,0.0086
W 5085,2,2531840.24,5661620.64,welll50,skin,0,0,0,0,0.5,6,0,4649.310000000056,566.230000000447,0.51,0.0086
W 5088,0,2531980.38,5661411.2,welll51,skin,0,0,0,0,0.5,6,0,4789.449999999721,775.6699999999255,0.51,0.0086
W 5088,2,2531980.38,5661411.2,welll52,skin,0,0,0,0,0.5,6,0,4789.449999999721,775.6699999999255,0.51,0.0086
W 5090,0,2531811.07,5661321.16,welll53,skin,0,0,0,0,0.5,6,0,4620.139999999665,865.7099999999627,0.51,0.0086
W 5090,2,2531811.07,5661321.16,welll54,skin,0,0,0,0,0.5,6,0,4620.139999999665,865.7099999999627,0.51,0.0086
W 5093,0,2531980.55,5661080.36,welll55,skin,0,0,0,0,0.5,6,0,4789.619999999646,1106.5099999997765,0.51,0.0086
W 5093,2,2531980.55,5661080.36,welll56,skin,0,0,0,0,0.5,6,0,4789.619999999646,1106.5099999997765,0.51,0.0086
W 5094,0,2531951.68,5661180.39,welll57,skin,0,0,0,0,0.5,6,0,4760.75,1006.480000000447,0.51,0.0086
W 5094,2,2531951.68,5661180.39,welll58,skin,0,0,0,0,0.5,6,0,4760.75,1006.480000000447,0.51,0.0086
W 5095,0,2531930.63,5661281.86,welll59,skin,0,0,0,0,0.5,6,0,4739.699999999721,905.0099999997765,0.51,0.0086
W 5095,2,2531930.63,5661281.86,welll60,skin,0,0,0,0,0.5,6,0,4739.699999999721,905.0099999997765,0.51,0.0086
W 5099,0,2531910.46,5660880.5,welll61,skin,0,0,0,0,0.5,6,0,4719.529999999795,1306.3700000001118,0.51,0.0086
W 5099,2,2531910.46,5660880.5,welll62,skin,0,0,0,0,0.5,6,0,4719.529999999795,1306.3700000001118,0.51,0.0086
W 5100,0,2531820.76,5660840.34,welll63,skin,0,0,0,0,0.5,6,0,4629.829999999609,1346.5300000002608,0.51,0.0086
W 5100,2,2531820.76,5660840.34,welll64,skin,0,0,0,0,0.5,6,0,4629.829999999609,1346.5300000002608,0.51,0.0086
W 5110,0,2531900.19,5661920.96,welll65,skin,0,0,0,0,0.5,6,0,4709.2599999997765,265.910000000149,0.51,0.0086
W 5110,2,2531900.19,5661920.96,welll66,skin,0,0,0,0,0.5,6,0,4709.2599999997765,265.910000000149,0.51,0.0086
W 5111,0,2531800.96,5661940.89,welll67,skin,0,0,0,0,0.5,6,0,4610.029999999795,245.98000000044703,0.51,0.0086
W 5111,2,2531800.96,5661940.89,welll68,skin,0,0,0,0,0.5,6,0,4610.029999999795,245.98000000044703,0.51,0.0086
W 5112,0,2531701.0,5661961.1,welll69,skin,0,0,0,0,0.5,6,0,4510.069999999832,225.7700000004843,0.51,0.0086
W 5112,2,2531701.0,5661961.1,welll70,skin,0,0,0,0,0.5,6,0,4510.069999999832,225.7700000004843,0.51,0.0086
W 5113,0,2531610.16,5661991.17,welll71,skin,0,0,0,0,0.5,6,0,4419.229999999981,195.70000000018626,0.51,0.0086
W 5113,2,2531610.16,5661991.17,welll72,skin,0,0,0,0,0.5,6,0,4419.229999999981,195.70000000018626,0.51,0.0086
W 5114,0,2531931.56,5660770.62,welll73,skin,0,0,0,0,0.5,6,0,4740.629999999888,1416.25,0.51,0.0086
W 5114,2,2531931.56,5660770.62,welll74,skin,0,0,0,0,0.5,6,0,4740.629999999888,1416.25,0.51,0.0086
W 5115,0,2531914.9,5660627.31,welll75,skin,0,0,0,0,0.5,6,0,4723.969999999739,1559.5600000005215,0.51,0.0086
W 5115,2,2531914.9,5660627.31,welll76,skin,0,0,0,0,0.5,6,0,4723.969999999739,1559.5600000005215,0.51,0.0086
W 5116,0,2531710.18,5660561.03,welll77,skin,0,0,0,0,0.5,6,0,4519.25,1625.839999999851,0.51,0.0086
W 5116,2,2531710.18,5660561.03,welll78,skin,0,0,0,0,0.5,6,0,4519.25,1625.839999999851,0.51,0.0086
W 5117,0,2531837.94,5660381.06,welll79,skin,0,0,0,0,0.5,6,0,4647.0099999997765,1805.8100000005215,0.51,0.0086
W 5117,2,2531837.94,5660381.06,welll80,skin,0,0,0,0,0.5,6,0,4647.0099999997765,1805.8100000005215,0.51,0.0086
W 5119,0,2531910.93,5660230.89,welll81,skin,0,0,0,0,0.5,6,0,4720.0,1955.980000000447,0.51,0.0086
W 5119,2,2531910.93,5660230.89,welll82,skin,0,0,0,0,0.5,6,0,4720.0,1955.980000000447,0.51,0.0086
W 5128,0,2531900.71,5659350.8,welll83,skin,0,0,0,0,0.5,6,0,4709.779999999795,2836.070000000298,0.51,0.0086
W 5128,2,2531900.71,5659350.8,welll84,skin,0,0,0,0,0.5,6,0,4709.779999999795,2836.070000000298,0.51,0.0086
W 5130,0,2531950.95,5659910.44,welll85,skin,0,0,0,0,0.5,6,0,4760.020000000019,2276.429999999702,0.51,0.0086
W 5130,2,2531950.95,5659910.44,welll86,skin,0,0,0,0,0.5,6,0,4760.020000000019,2276.429999999702,0.51,0.0086
W 5132,0,2531770.99,5659991.07,welll87,skin,0,0,0,0,0.5,6,0,4580.060000000056,2195.7999999998137,0.51,0.0086
W 5132,2,2531770.99,5659991.07,welll88,skin,0,0,0,0,0.5,6,0,4580.060000000056,2195.7999999998137,0.51,0.0086
W 5134,0,2531680.69,5659800.75,welll89,skin,0,0,0,0,0.5,6,0,4489.7599999997765,2386.1200000001118,0.51,0.0086
W 5134,2,2531680.69,5659800.75,welll90,skin,0,0,0,0,0.5,6,0,4489.7599999997765,2386.1200000001118,0.51,0.0086
W 5135,0,2531430.0,5659732.02,welll91,skin,0,0,0,0,0.5,6,0,4239.069999999832,2454.850000000559,0.51,0.0086
W 5135,2,2531430.0,5659732.02,welll92,skin,0,0,0,0,0.5,6,0,4239.069999999832,2454.850000000559,0.51,0.0086
W 5136,0,2531601.27,5659620.5,welll93,skin,0,0,0,0,0.5,6,0,4410.339999999851,2566.3700000001118,0.51,0.0086
W 5136,2,2531601.27,5659620.5,welll94,skin,0,0,0,0,0.5,6,0,4410.339999999851,2566.3700000001118,0.51,0.0086
W 5138,0,2531500.94,5659440.53,welll95,skin,0,0,0,0,0.5,6,0,4310.0099999997765,2746.339999999851,0.51,0.0086
W 5138,2,2531500.94,5659440.53,welll96,skin,0,0,0,0,0.5,6,0,4310.0099999997765,2746.339999999851,0.51,0.0086
W 5140,0,2531680.96,5659340.83,welll97,skin,0,0,0,0,0.5,6,0,4490.029999999795,2846.0400000000373,0.51,0.0086
W 5140,2,2531680.96,5659340.83,welll98,skin,0,0,0,0,0.5,6,0,4490.029999999795,2846.0400000000373,0.51,0.0086
W 5142,0,2531943.69,5659498.32,welll99,skin,0,0,0,0,0.5,6,0,4752.7599999997765,2688.5499999998137,0.51,0.0086
W 5142,2,2531943.69,5659498.32,welll100,skin,0,0,0,0,0.5,6,0,4752.7599999997765,2688.5499999998137,0.51,0.0086
W 5143,0,2531850.38,5659617.36,welll101,skin,0,0,0,0,0.5,6,0,4659.449999999721,2569.5099999997765,0.51,0.0086
W 5143,2,2531850.38,5659617.36,welll102,skin,0,0,0,0,0.5,6,0,4659.449999999721,2569.5099999997765,0.51,0.0086
W 5144,0,2531710.76,5659640.34,welll103,skin,0,0,0,0,0.5,6,0,4519.829999999609,2546.5300000002608,0.51,0.0086
W 5144,2,2531710.76,5659640.34,welll104,skin,0,0,0,0,0.5,6,0,4519.829999999609,2546.5300000002608,0.51,0.0086
W 5324,0,2531866.06,5657929.34,welll105,skin,0,0,0,0,0.5,6,0,4675.129999999888,4257.530000000261,0.51,0.0086
W 5324,2,2531866.06,5657929.34,welll106,skin,0,0,0,0,0.5,6,0,4675.129999999888,4257.530000000261,0.51,0.0086
W 5325,0,2531836.79,5658001.95,welll107,skin,0,0,0,0,0.5,6,0,4645.85999999987,4184.9199999999255,0.51,0.0086
W 5325,2,2531836.79,5658001.95,welll108,skin,0,0,0,0,0.5,6,0,4645.85999999987,4184.9199999999255,0.51,0.0086
W 5326,0,2531743.44,5658089.19,welll109,skin,0,0,0,0,0.5,6,0,4552.5099999997765,4097.679999999702,0.51,0.0086
W 5326,2,2531743.44,5658089.19,welll110,skin,0,0,0,0,0.5,6,0,4552.5099999997765,4097.679999999702,0.51,0.0086
W 5327,0,2531739.01,5658248.85,welll111,skin,0,0,0,0,0.5,6,0,4548.079999999609,3938.0200000004843,0.51,0.0086
W 5327,2,2531739.01,5658248.85,welll112,skin,0,0,0,0,0.5,6,0,4548.079999999609,3938.0200000004843,0.51,0.0086
W 5329,0,2531797.01,5658390.33,welll113,skin,0,0,0,0,0.5,6,0,4606.079999999609,3796.5400000000373,0.51,0.0086
W 5329,2,2531797.01,5658390.33,welll114,skin,0,0,0,0,0.5,6,0,4606.079999999609,3796.5400000000373,0.51,0.0086
W 5330,0,2531891.81,5658417.87,welll115,skin,0,0,0,0,0.5,6,0,4700.879999999888,3769.0,0.51,0.0086
W 5330,2,2531891.81,5658417.87,welll116,skin,0,0,0,0,0.5,6,0,4700.879999999888,3769.0,0.51,0.0086
W 5335,0,2531673.89,5659071.78,welll117,skin,0,0,0,0,0.5,6,0,4482.959999999963,3115.089999999851,0.51,0.0086
W 5335,2,2531673.89,5659071.78,welll118,skin,0,0,0,0,0.5,6,0,4482.959999999963,3115.089999999851,0.51,0.0086
