"per","wellid","qdes"
0,"well1",0
0,"well10",0
0,"well19",0
0,"well28",0
0,"well37",0
0,"well46",0
0,"well55",0
0,"well64",0
0,"well73",0
0,"well82",0
0,"well91",0
0,"well100",0
0,"well109",0
0,"well118",0
0,"well127",0
0,"well136",0
0,"well145",0
0,"well154",0
0,"well163",0
0,"well172",0
0,"well181",0
0,"well190",0
0,"well199",0
0,"well208",0
0,"well217",0
0,"well226",0
0,"well235",0
0,"well244",0
0,"well253",0
0,"well262",0
0,"well271",0
0,"well280",0
0,"well289",0
0,"well298",0
0,"well307",0
0,"well316",0
0,"well325",0
0,"well334",0
0,"well343",0
0,"well352",0
0,"well361",0
0,"well370",0
0,"well379",0
0,"well388",0
0,"well397",0
0,"well406",0
0,"well415",0
0,"well424",0
0,"well433",0
0,"well442",0
0,"well451",0
0,"well460",0
0,"well469",0
0,"well478",0
1,"well1",-1500
1,"well10",-1500
1,"well19",-1500
1,"well28",-1500
1,"well37",-1500
1,"well46",0
1,"well55",0
1,"well64",0
1,"well73",-1500
1,"well82",0
1,"well91",0
1,"well100",0
1,"well109",0
1,"well118",0
1,"well127",0
1,"well136",0
1,"well145",0
1,"well154",0
1,"well163",0
1,"well172",0
1,"well181",0
1,"well190",0
1,"well199",0
1,"well208",0
1,"well217",0
1,"well226",0
1,"well235",0
1,"well244",0
1,"well253",0
1,"well262",0
1,"well271",0
1,"well280",0
1,"well289",0
1,"well298",0
1,"well307",0
1,"well316",0
1,"well325",0
1,"well334",0
1,"well343",0
1,"well352",0
1,"well361",0
1,"well370",0
1,"well379",0
1,"well388",0
1,"well397",0
1,"well406",0
1,"well415",0
1,"well424",0
1,"well433",0
1,"well442",0
1,"well451",0
1,"well460",0
1,"well469",0
1,"well478",0
2,"well1",-1500
2,"well10",-1500
2,"well19",-1500
2,"well28",-1500
2,"well37",-1500
2,"well46",0
2,"well55",-1500
2,"well64",-1500
2,"well73",-1500
2,"well82",0
2,"well91",-1500
2,"well100",0
2,"well109",0
2,"well118",0
2,"well127",-1500
2,"well136",-1500
2,"well145",0
2,"well154",0
2,"well163",0
2,"well172",0
2,"well181",0
2,"well190",0
2,"well199",0
2,"well208",0
2,"well217",0
2,"well226",0
2,"well235",0
2,"well244",0
2,"well253",0
2,"well262",0
2,"well271",0
2,"well280",0
2,"well289",0
2,"well298",0
2,"well307",0
2,"well316",0
2,"well325",0
2,"well334",0
2,"well343",0
2,"well352",0
2,"well361",0
2,"well370",0
2,"well379",0
2,"well388",0
2,"well397",0
2,"well406",0
2,"well415",0
2,"well424",0
2,"well433",0
2,"well442",0
2,"well451",0
2,"well460",0
2,"well469",0
2,"well478",0
3,"well1",-1500
3,"well10",-1500
3,"well19",-1500
3,"well28",-1500
3,"well37",-1500
3,"well46",0
3,"well55",-1500
3,"well64",-1500
3,"well73",-1500
3,"well82",0
3,"well91",-1500
3,"well100",-1500
3,"well109",-1500
3,"well118",0
3,"well127",-1500
3,"well136",-1500
3,"well145",0
3,"well154",-1500
3,"well163",-1500
3,"well172",0
3,"well181",0
3,"well190",0
3,"well199",0
3,"well208",0
3,"well217",0
3,"well226",0
3,"well235",0
3,"well244",0
3,"well253",0
3,"well262",0
3,"well271",0
3,"well280",0
3,"well289",0
3,"well298",0
3,"well307",0
3,"well316",0
3,"well325",0
3,"well334",0
3,"well343",0
3,"well352",0
3,"well361",0
3,"well370",0
3,"well379",0
3,"well388",0
3,"well397",0
3,"well406",0
3,"well415",0
3,"well424",0
3,"well433",0
3,"well442",0
3,"well451",0
3,"well460",0
3,"well469",0
3,"well478",0
4,"well1",-1500
4,"well10",-1500
4,"well19",-1500
4,"well28",-1500
4,"well37",-1500
4,"well46",0
4,"well55",-1500
4,"well64",-1500
4,"well73",-1500
4,"well82",0
4,"well91",-1500
4,"well100",-1500
4,"well109",-1500
4,"well118",-1500
4,"well127",-1500
4,"well136",-1500
4,"well145",-1500
4,"well154",-1500
4,"well163",-1500
4,"well172",-1500
4,"well181",0
4,"well190",-1500
4,"well199",0
4,"well208",0
4,"well217",-1500
4,"well226",0
4,"well235",0
4,"well244",0
4,"well253",0
4,"well262",0
4,"well271",0
4,"well280",0
4,"well289",0
4,"well298",0
4,"well307",0
4,"well316",0
4,"well325",0
4,"well334",0
4,"well343",0
4,"well352",0
4,"well361",0
4,"well370",0
4,"well379",0
4,"well388",0
4,"well397",0
4,"well406",0
4,"well415",0
4,"well424",0
4,"well433",0
4,"well442",0
4,"well451",0
4,"well460",0
4,"well469",0
4,"well478",0
5,"well1",-1500
5,"well10",-1500
5,"well19",-1500
5,"well28",-1500
5,"well37",-1500
5,"well46",-1500
5,"well55",-1500
5,"well64",-1500
5,"well73",-1500
5,"well82",-1500
5,"well91",-1500
5,"well100",-1500
5,"well109",-1500
5,"well118",-1500
5,"well127",-1500
5,"well136",-1500
5,"well145",-1500
5,"well154",-1500
5,"well163",-1500
5,"well172",-1500
5,"well181",-1500
5,"well190",-1500
5,"well199",0
5,"well208",-1500
5,"well217",-1500
5,"well226",0
5,"well235",0
5,"well244",0
5,"well253",0
5,"well262",-1500
5,"well271",0
5,"well280",0
5,"well289",0
5,"well298",0
5,"well307",0
5,"well316",0
5,"well325",0
5,"well334",-1500
5,"well343",0
5,"well352",0
5,"well361",0
5,"well370",0
5,"well379",0
5,"well388",0
5,"well397",0
5,"well406",0
5,"well415",0
5,"well424",0
5,"well433",0
5,"well442",0
5,"well451",0
5,"well460",0
5,"well469",0
5,"well478",0
6,"well1",0
6,"well10",0
6,"well19",-1500
6,"well28",0
6,"well37",0
6,"well46",-1500
6,"well55",-1500
6,"well64",-1500
6,"well73",0
6,"well82",-1500
6,"well91",-1500
6,"well100",-1500
6,"well109",-1500
6,"well118",-1500
6,"well127",-1500
6,"well136",-1500
6,"well145",-1500
6,"well154",-1500
6,"well163",-1500
6,"well172",-1500
6,"well181",-1500
6,"well190",-1500
6,"well199",-1500
6,"well208",-1500
6,"well217",-1500
6,"well226",-1500
6,"well235",-1500
6,"well244",0
6,"well253",0
6,"well262",-1500
6,"well271",0
6,"well280",0
6,"well289",0
6,"well298",0
6,"well307",0
6,"well316",0
6,"well325",0
6,"well334",-1500
6,"well343",0
6,"well352",0
6,"well361",0
6,"well370",0
6,"well379",0
6,"well388",0
6,"well397",0
6,"well406",0
6,"well415",0
6,"well424",0
6,"well433",0
6,"well442",0
6,"well451",0
6,"well460",0
6,"well469",0
6,"well478",0
7,"well1",0
7,"well10",0
7,"well19",0
7,"well28",0
7,"well37",0
7,"well46",-1500
7,"well55",-1500
7,"well64",-1500
7,"well73",0
7,"well82",0
7,"well91",0
7,"well100",0
7,"well109",0
7,"well118",-1500
7,"well127",0
7,"well136",-1500
7,"well145",-1500
7,"well154",-1500
7,"well163",0
7,"well172",0
7,"well181",-1500
7,"well190",-1500
7,"well199",-1500
7,"well208",-1500
7,"well217",-1500
7,"well226",-1500
7,"well235",-1500
7,"well244",-1500
7,"well253",0
7,"well262",-1500
7,"well271",0
7,"well280",0
7,"well289",-1500
7,"well298",0
7,"well307",0
7,"well316",-1500
7,"well325",-1500
7,"well334",-1500
7,"well343",0
7,"well352",-1500
7,"well361",0
7,"well370",0
7,"well379",0
7,"well388",-1500
7,"well397",-1500
7,"well406",0
7,"well415",-1500
7,"well424",0
7,"well433",0
7,"well442",0
7,"well451",0
7,"well460",0
7,"well469",0
7,"well478",0
8,"well1",0
8,"well10",0
8,"well19",0
8,"well28",0
8,"well37",0
8,"well46",0
8,"well55",-1500
8,"well64",-1500
8,"well73",0
8,"well82",0
8,"well91",0
8,"well100",0
8,"well109",0
8,"well118",-1500
8,"well127",0
8,"well136",-1500
8,"well145",0
8,"well154",0
8,"well163",0
8,"well172",0
8,"well181",-1500
8,"well190",-1500
8,"well199",-1500
8,"well208",-1500
8,"well217",0
8,"well226",-1500
8,"well235",-1500
8,"well244",-1500
8,"well253",-1500
8,"well262",-1500
8,"well271",-1500
8,"well280",-1500
8,"well289",-1500
8,"well298",-1500
8,"well307",0
8,"well316",-1500
8,"well325",-1500
8,"well334",-1500
8,"well343",-1500
8,"well352",-1500
8,"well361",0
8,"well370",0
8,"well379",-1500
8,"well388",-1500
8,"well397",-1500
8,"well406",0
8,"well415",-1500
8,"well424",-1500
8,"well433",-1500
8,"well442",0
8,"well451",0
8,"well460",0
8,"well469",0
8,"well478",0
9,"well1",0
9,"well10",0
9,"well19",0
9,"well28",0
9,"well37",0
9,"well46",0
9,"well55",-1500
9,"well64",-1500
9,"well73",0
9,"well82",0
9,"well91",0
9,"well100",0
9,"well109",0
9,"well118",-1500
9,"well127",0
9,"well136",0
9,"well145",0
9,"well154",0
9,"well163",0
9,"well172",0
9,"well181",-1500
9,"well190",-1500
9,"well199",-1500
9,"well208",-1500
9,"well217",0
9,"well226",-1500
9,"well235",-1500
9,"well244",-1500
9,"well253",-1500
9,"well262",0
9,"well271",-1500
9,"well280",-1500
9,"well289",-1500
9,"well298",-1500
9,"well307",-1500
9,"well316",-1500
9,"well325",-1500
9,"well334",-1500
9,"well343",-1500
9,"well352",-1500
9,"well361",-1500
9,"well370",-1500
9,"well379",-1500
9,"well388",-1500
9,"well397",-1500
9,"well406",-1500
9,"well415",-1500
9,"well424",-1500
9,"well433",-1500
9,"well442",-1500
9,"well451",-1500
9,"well460",-1500
9,"well469",-1500
9,"well478",-1500
